state,Schools with Electricity Facility
Andaman and Nicobar Islands,417
Andhra Pradesh,63343
Arunachal Pradesh,3675
Assam,65203
Bihar,93459
Chandigarh,230
Chhattisgarh,56494
Dadra and Nagar Haveli and Daman and Diu,479
Delhi,5642
Goa,1481
Gujarat,54444
Haryana,23764
Himachal Pradesh,18145
Jammu and Kashmir,28930
Jharkhand,45319
Karnataka,76905
Kerala,16481
Ladakh,1056
Lakshadweep,45
Madhya Pradesh,133271
Maharashtra,110114
Manipur,4653
Meghalaya,14694
Mizoram,3925
Nagaland,2719
Odisha,64185
Puducherry,741
Punjab,28695
Rajasthan,107376
Sikkim,1263
Tamil Nadu,58904
Telangana,42917
Tripura,4934
Uttar Pradesh,256911
Uttarakhand,23169
West Bengal,95153
